,temperature,target_t_plus_1,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,spatial_nbr_lag1_mean,lag_1
temperature,1.0,0.7046044921029371,0.6292751641136564,0.5492887885741022,0.4483496162125572,0.6654706483837122,0.5055214501021801,0.5056625715258706,-0.46254410841797733,-0.43074006177073143,-0.08942572707161181,-0.05705113050373535,0.5230191664729981,0.47564495031432674,0.7068745301079361,0.7069966474523773
target_t_plus_1,0.7046044921029371,1.0,0.43220021986154683,0.38896402719658335,0.3340360163382486,0.4669003327818022,0.35131939694732256,0.4080836156272449,-0.385071642974369,-0.3434203755281631,-0.13633271059484092,-0.12802578957356153,0.3938493351978962,0.3511405129262472,0.49140084724600513,0.4919745575851571
temperature_2m_mean,0.6292751641136564,0.43220021986154683,1.0,0.8561627390206473,0.7992016322721489,0.8218602040345867,0.6060437231832971,0.7064144382180298,-0.5070194959113938,-0.5420130875691253,-0.12204114074577116,0.14217064242301436,0.6865370769633152,0.5762774260245748,0.5086004432068784,0.5075051693221116
temperature_2m_max,0.5492887885741022,0.38896402719658335,0.8561627390206473,1.0,0.5008868203379782,0.8261614508943541,0.8113417222569201,0.5478503192203028,-0.4448591890200769,-0.4515941764871472,-0.22725784030561597,0.02980665683552953,0.6601750740848623,0.5558585460237835,0.4783064946990901,0.4772882644573153
temperature_2m_min,0.4483496162125572,0.3340360163382486,0.7992016322721489,0.5008868203379782,1.0,0.5833762027644581,0.3098350045003141,0.814861898928689,-0.34230009329965577,-0.38910476800019334,-0.021078095434729105,0.16715323594098558,0.4518731937571158,0.3663810716501103,0.36214915265208814,0.36135102515068873
apparent_temperature_mean,0.6654706483837122,0.4669003327818022,0.8218602040345867,0.8261614508943541,0.5833762027644581,1.0,0.8678948444998434,0.7482431435947917,-0.4629002980564948,-0.40223297554169823,-0.42345365546434993,-0.2434574136250342,0.5487248237142909,0.4787193794636177,0.5685867371514279,0.5673715495082859
apparent_temperature_max,0.5055214501021801,0.35131939694732256,0.6060437231832971,0.8113417222569201,0.3098350045003141,0.8678948444998434,1.0,0.5028675563945303,-0.3709869367165014,-0.2894546629171466,-0.48304135574619417,-0.3398742882655068,0.4919540487937342,0.4349184478623464,0.4624359535244371,0.46145355326009974
apparent_temperature_min,0.5056625715258706,0.4080836156272449,0.7064144382180298,0.5478503192203028,0.814861898928689,0.7482431435947917,0.5028675563945303,1.0,-0.3703672367696352,-0.3738815789253861,-0.30053231576987677,-0.12320679882618667,0.42280267358354867,0.3720149667440013,0.39100174362345563,0.39017010928371654
precipitation_sum,-0.46254410841797733,-0.385071642974369,-0.5070194959113938,-0.4448591890200769,-0.34230009329965577,-0.4629002980564948,-0.3709869367165014,-0.3703672367696352,1.0,0.6746118648008702,0.35153871217081195,0.15246225889244874,-0.6586909787757029,-0.5940717596949099,-0.2886862034149467,-0.2880417394977087
precipitation_hours,-0.43074006177073143,-0.3434203755281631,-0.5420130875691253,-0.4515941764871472,-0.38910476800019334,-0.40223297554169823,-0.2894546629171466,-0.3738815789253861,0.6746118648008702,1.0,0.1728864260918749,-0.0011752175626462689,-0.5782946939556972,-0.46012309101726045,-0.27358287939209464,-0.27297058466693574
wind_speed_10m_max,-0.08942572707161181,-0.13633271059484092,-0.12204114074577116,-0.22725784030561597,-0.021078095434729105,-0.42345365546434993,-0.48304135574619417,-0.30053231576987677,0.35153871217081195,0.1728864260918749,1.0,0.7219177000793643,-0.14118708343718878,-0.13394687385058335,-0.0714841716798825,-0.07135690787518775
wind_gusts_10m_max,-0.05705113050373535,-0.12802578957356153,0.14217064242301436,0.02980665683552953,0.16715323594098558,-0.2434574136250342,-0.3398742882655068,-0.12320679882618667,0.15246225889244874,-0.0011752175626462689,0.7219177000793643,1.0,0.13356084362364182,0.11178531502050512,-0.0921866584723157,-0.09195419504938554
shortwave_radiation_sum,0.5230191664729981,0.3938493351978962,0.6865370769633152,0.6601750740848623,0.4518731937571158,0.5487248237142909,0.4919540487937342,0.42280267358354867,-0.6586909787757029,-0.5782946939556972,-0.14118708343718878,0.13356084362364182,1.0,0.9306785736121876,0.27639512972058433,0.2757910838953353
sunshine_duration,0.47564495031432674,0.3511405129262472,0.5762774260245748,0.5558585460237835,0.3663810716501103,0.4787193794636177,0.4349184478623464,0.3720149667440013,-0.5940717596949099,-0.46012309101726045,-0.13394687385058335,0.11178531502050512,0.9306785736121876,1.0,0.26292827653886397,0.2623594061935264
spatial_nbr_lag1_mean,0.7068745301079361,0.49140084724600513,0.5086004432068784,0.4783064946990901,0.36214915265208814,0.5685867371514279,0.4624359535244371,0.39100174362345563,-0.2886862034149467,-0.27358287939209464,-0.0714841716798825,-0.0921866584723157,0.27639512972058433,0.26292827653886397,1.0,0.9990887501127764
lag_1,0.7069966474523773,0.4919745575851571,0.5075051693221116,0.4772882644573153,0.36135102515068873,0.5673715495082859,0.46145355326009974,0.39017010928371654,-0.2880417394977087,-0.27297058466693574,-0.07135690787518775,-0.09195419504938554,0.2757910838953353,0.2623594061935264,0.9990887501127764,1.0
