,temperature,target_t_plus_1,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,spatial_nbr_lag1_mean,lag_1
temperature,1.0,0.7074175306233264,0.6119988661939401,0.5134589457380184,0.454123593823307,0.6472507921665253,0.45447050689773744,0.5262763061056036,-0.3934089630290778,-0.36460699281785297,0.007800302122794913,-0.05235276704980092,0.4193301920656939,0.377099372054127,0.7078995194429556,0.7080883899066661
target_t_plus_1,0.7074175306233264,1.0,0.4225554246960217,0.35978485248307923,0.33326433978226616,0.43877276688615635,0.3014272696679539,0.4251915801644952,-0.32035809008213845,-0.2943522917050372,-0.043858278345644014,-0.1305423554210883,0.34029740137672315,0.374402894240394,0.5095230097628916,0.5102284471924698
temperature_2m_mean,0.6119988661939401,0.4225554246960217,1.0,0.8475223788764508,0.803079792533753,0.8170528184525846,0.5803005374045805,0.7227469989919275,-0.6470857498936676,-0.5160205321773718,-0.0779891467257758,0.1427126055776442,0.7320250234935664,0.6039346092811885,0.4886134395263671,0.4875720426103593
temperature_2m_max,0.5134589457380184,0.35978485248307923,0.8475223788764508,1.0,0.4853452706731855,0.8113788421191274,0.7917423800246087,0.5528909914769267,-0.43720337251651353,-0.3959939732042169,-0.20615051816748647,0.04146660492219384,0.6371581671877548,0.5730209279814157,0.4569674413079778,0.4559954298246485
temperature_2m_min,0.454123593823307,0.33326433978226616,0.803079792533753,0.4853452706731855,1.0,0.5882735235569402,0.2800472741610675,0.804172987862911,-0.5739478008916564,-0.4108484536122456,-0.004278174829233713,0.1484810074891866,0.5314085925591572,0.4065305486625315,0.37989433577282045,0.3789051524633385
apparent_temperature_mean,0.6472507921665253,0.43877276688615635,0.8170528184525846,0.8113788421191274,0.5882735235569402,1.0,0.8464438848945125,0.7679890761046534,-0.4433541153540344,-0.3528743295401555,-0.35653823605547025,-0.23276302802661114,0.507882982069065,0.4569816956181343,0.557760157151071,0.5566354536695607
apparent_temperature_max,0.45447050689773744,0.3014272696679539,0.5803005374045805,0.7917423800246087,0.2800472741610675,0.8464438848945125,1.0,0.4853917741905735,-0.19574602596961546,-0.2014151167994989,-0.43499458601751795,-0.3252374759887779,0.37152750263029866,0.379383588479581,0.42751612299392205,0.42662604401605125
apparent_temperature_min,0.5262763061056036,0.4251915801644952,0.7227469989919275,0.5528909914769267,0.804172987862911,0.7679890761046534,0.4853917741905735,1.0,-0.5079033339813054,-0.37683145862267475,-0.2721923630464615,-0.1455540967188084,0.43850397193577084,0.40335829409310375,0.43722686525032334,0.43605820216216445
precipitation_sum,-0.3934089630290778,-0.32035809008213845,-0.6470857498936676,-0.43720337251651353,-0.5739478008916564,-0.4433541153540344,-0.19574602596961546,-0.5079033339813054,1.0,0.8608824549261521,0.07631542981412896,-0.06677214673840753,-0.6571724313539492,-0.4970223982662754,-0.2341989678512281,-0.23339971421950562
precipitation_hours,-0.36460699281785297,-0.2943522917050372,-0.5160205321773718,-0.3959939732042169,-0.4108484536122456,-0.3528743295401555,-0.2014151167994989,-0.37683145862267475,0.8608824549261521,1.0,0.04141989694624088,-0.05302110661120805,-0.5720674983573427,-0.4184592547104924,-0.20734243247987977,-0.20654727723346533
wind_speed_10m_max,0.007800302122794913,-0.043858278345644014,-0.0779891467257758,-0.20615051816748647,-0.004278174829233713,-0.35653823605547025,-0.43499458601751795,-0.2721923630464615,0.07631542981412896,0.04141989694624088,1.0,0.685313611713576,0.033179411289131225,-0.02925071376725748,-0.032853122124652544,-0.03282200577460498
wind_gusts_10m_max,-0.05235276704980092,-0.1305423554210883,0.1427126055776442,0.04146660492219384,0.1484810074891866,-0.23276302802661114,-0.3252374759887779,-0.1455540967188084,-0.06677214673840753,-0.05302110661120805,0.685313611713576,1.0,0.23826215543041668,0.1677535386379681,-0.10170642413539357,-0.10168946388061664
shortwave_radiation_sum,0.4193301920656939,0.34029740137672315,0.7320250234935664,0.6371581671877548,0.5314085925591572,0.507882982069065,0.37152750263029866,0.43850397193577084,-0.6571724313539492,-0.5720674983573427,0.033179411289131225,0.23826215543041668,1.0,0.8221755680454149,0.23205854396661818,0.23139938880228503
sunshine_duration,0.377099372054127,0.374402894240394,0.6039346092811885,0.5730209279814157,0.4065305486625315,0.4569816956181343,0.379383588479581,0.40335829409310375,-0.4970223982662754,-0.4184592547104924,-0.02925071376725748,0.1677535386379681,0.8221755680454149,1.0,0.228971158066458,0.2283229288191767
spatial_nbr_lag1_mean,0.7078995194429556,0.5095230097628916,0.4886134395263671,0.4569674413079778,0.37989433577282045,0.557760157151071,0.42751612299392205,0.43722686525032334,-0.2341989678512281,-0.20734243247987977,-0.032853122124652544,-0.10170642413539357,0.23205854396661818,0.228971158066458,1.0,0.9992891966206915
lag_1,0.7080883899066661,0.5102284471924698,0.4875720426103593,0.4559954298246485,0.3789051524633385,0.5566354536695607,0.42662604401605125,0.43605820216216445,-0.23339971421950562,-0.20654727723346533,-0.03282200577460498,-0.10168946388061664,0.23139938880228503,0.2283229288191767,0.9992891966206915,1.0
