Feature,Importance
wind_gusts_10m_max,0.14687474
temperature_2m_min,0.089149125
apparent_temperature_mean,0.08386724
sunshine_duration,0.068577506
apparent_temperature_max,0.056792546
wind_speed_10m_max,0.056670457
temperature_2m_mean,0.049371585
dom_cos,0.049305752
temp_2m_range,0.04831524
apparent_temp_range,0.04334512
apparent_temperature_min,0.042600147
shortwave_radiation_sum,0.0385138
month,0.03588416
temperature_2m_max,0.030601123
dow_sin,0.030468134
precipitation_sum,0.028625546
doy_sin,0.026490085
dom_sin,0.022085207
doy_cos,0.0118617555
macro_temp_2m_delta,0.011641229
dow_cos,0.0071329433
rolling_max_3,0.0038873898
rolling_min_7,0.0023540547
lag_7,0.002220936
precipitation_hours,0.0021287985
lag_3,0.0017272747
lag_1,0.0014062355
rolling_min_3,0.0013974663
rolling_mean_7,0.0012386927
spatial_nbr_lag1_min,0.00092039973
rolling_mean_3,0.00080780365
rolling_std_3,0.0007800705
rolling_std_7,0.0006431503
spatial_nbr_lag1_weighted,0.00048369617
spatial_nbr_lag1_max,0.00044624234
tile_spatial_anomaly_lag1,0.000422069
lag_2,0.00038407868
rolling_max_7,0.00036083293
spatial_nbr_lag1_mean,0.00016861863
spatial_nbr_diff_lag1,4.872049e-05
