forecast_date,month,projected_daily_mean_temperature
2026-06-08 00:00:00,June,29.06891106595895
2026-06-09 00:00:00,June,28.80955018464101
2026-06-10 00:00:00,June,28.487049967729984
2026-06-11 00:00:00,June,28.929638791079626
2026-06-12 00:00:00,June,29.389394950696644
2026-06-13 00:00:00,June,29.51162692840033
2026-06-14 00:00:00,June,29.765270316766667
2026-06-15 00:00:00,June,30.688583551016897
2026-06-16 00:00:00,June,30.354490829595072
2026-06-17 00:00:00,June,30.69323593542942
2026-06-18 00:00:00,June,30.772393745128436
2026-06-19 00:00:00,June,30.67267071798496
2026-06-20 00:00:00,June,28.599563744889007
2026-06-21 00:00:00,June,30.203640224504067
2026-06-22 00:00:00,June,30.777964494292736
2026-06-23 00:00:00,June,30.379511895206463
2026-06-24 00:00:00,June,28.99154926447744
2026-06-25 00:00:00,June,29.76463016345247
2026-06-26 00:00:00,June,30.690480109831604
2026-06-27 00:00:00,June,30.783152227201956
2026-06-28 00:00:00,June,30.550395693686113
2026-06-29 00:00:00,June,30.786679353766157
2026-06-30 00:00:00,June,30.457030767862424
2026-07-01 00:00:00,July,29.024322471750562
2026-07-02 00:00:00,July,29.57513154146904
2026-07-03 00:00:00,July,29.332582198282743
2026-07-04 00:00:00,July,29.802343436625797
2026-07-05 00:00:00,July,29.976871357914614
2026-07-06 00:00:00,July,28.431537108750195
2026-07-07 00:00:00,July,29.681688009639878
2026-07-08 00:00:00,July,29.850999530441946
2026-07-09 00:00:00,July,30.042993001520845
2026-07-10 00:00:00,July,30.118832946877834
2026-07-11 00:00:00,July,29.101387395737156
2026-07-12 00:00:00,July,29.56066505047886
2026-07-13 00:00:00,July,30.03757566637885
2026-07-14 00:00:00,July,30.12747091278608
2026-07-15 00:00:00,July,30.17568526423276
2026-07-16 00:00:00,July,30.55240707590955
2026-07-17 00:00:00,July,29.032214787674256
2026-07-18 00:00:00,July,30.279532750431674
2026-07-19 00:00:00,July,30.808021553641982
2026-07-20 00:00:00,July,30.669420824955672
2026-07-21 00:00:00,July,30.93364827621789
2026-07-22 00:00:00,July,30.58944279741488
2026-07-23 00:00:00,July,30.620542727301643
2026-07-24 00:00:00,July,30.759347357693414
2026-07-25 00:00:00,July,30.64205288709589
2026-07-26 00:00:00,July,29.235685625846113
2026-07-27 00:00:00,July,28.22792103764654
2026-07-28 00:00:00,July,29.072352513994993
2026-07-29 00:00:00,July,29.71491287794751
2026-08-01,August,29.868
2026-08-02,August,29.868
2026-08-03,August,29.868
2026-08-04,August,29.868
2026-08-05,August,29.868
2026-08-06,August,29.868
2026-08-07,August,29.868
2026-08-08,August,29.868
2026-08-09,August,29.868
2026-08-10,August,29.868
2026-08-11,August,29.868
2026-08-12,August,29.868
2026-08-13,August,29.868
2026-08-14,August,29.868
2026-08-15,August,29.868
2026-08-16,August,29.868
2026-08-17,August,29.868
2026-08-18,August,29.868
2026-08-19,August,29.868
2026-08-20,August,29.868
2026-08-21,August,29.868
2026-08-22,August,29.868
2026-08-23,August,29.868
2026-08-24,August,29.868
2026-08-25,August,29.868
2026-08-26,August,29.868
2026-08-27,August,29.868
2026-08-28,August,29.868
2026-08-29,August,29.868
2026-08-30,August,29.868
2026-08-31,August,29.868
