forecast_date,month,projected_daily_mean_temperature
2026-08-01,August,29.868
2026-08-02,August,29.868
2026-08-03,August,29.868
2026-08-04,August,29.868
2026-08-05,August,29.868
2026-08-06,August,29.868
2026-08-07,August,29.868
2026-08-08,August,29.868
2026-08-09,August,29.868
2026-08-10,August,29.868
2026-08-11,August,29.868
2026-08-12,August,29.868
2026-08-13,August,29.868
2026-08-14,August,29.868
2026-08-15,August,29.868
2026-08-16,August,29.868
2026-08-17,August,29.868
2026-08-18,August,29.868
2026-08-19,August,29.868
2026-08-20,August,29.868
2026-08-21,August,29.868
2026-08-22,August,29.868
2026-08-23,August,29.868
2026-08-24,August,29.868
2026-08-25,August,29.868
2026-08-26,August,29.868
2026-08-27,August,29.868
2026-08-28,August,29.868
2026-08-29,August,29.868
2026-08-30,August,29.868
2026-08-31,August,29.868
