exogenous_variable,lag,f_statistic,p_value,granger_causes_temp_5%
temperature_2m_mean,1,0.3719,0.542845,False
temperature_2m_mean,2,0.2658,0.76697,False
temperature_2m_mean,3,1.239,0.297743,False
temperature_2m_mean,4,0.7469,0.561622,False
temperature_2m_mean,5,0.6247,0.681194,False
apparent_temperature_mean,1,0.3907,0.532877,False
apparent_temperature_mean,2,0.3461,0.708003,False
apparent_temperature_mean,3,4.9222,0.002743,True
apparent_temperature_mean,4,3.1825,0.015352,True
apparent_temperature_mean,5,3.4368,0.005814,True
precipitation_sum,1,2.5234,0.114216,False
precipitation_sum,2,1.4686,0.233509,False
precipitation_sum,3,1.3786,0.251616,False
precipitation_sum,4,1.0759,0.370695,False
precipitation_sum,5,1.0884,0.36945,False
wind_speed_10m_max,1,1.5976,0.208151,False
wind_speed_10m_max,2,1.4557,0.236482,False
wind_speed_10m_max,3,2.6111,0.053618,False
wind_speed_10m_max,4,1.5868,0.180925,False
wind_speed_10m_max,5,1.1235,0.350679,False
shortwave_radiation_sum,1,2.0831,0.150967,False
shortwave_radiation_sum,2,1.4721,0.232726,False
shortwave_radiation_sum,3,1.0145,0.388109,False
shortwave_radiation_sum,4,0.6011,0.662437,False
shortwave_radiation_sum,5,0.1409,0.98242,False
sunshine_duration,1,1.628,0.203899,False
sunshine_duration,2,0.7783,0.461022,False
sunshine_duration,3,0.5252,0.665664,False
sunshine_duration,4,0.4246,0.790724,False
sunshine_duration,5,0.3096,0.906549,False
